"","year","term"
"36826",1981,"jazz"
"36828",1981,"rock"
"36842",1980,"pop"
"36866",1980,"jazz"
"36868",1980,"rock"
"36882",1999,"jazz"
"36905",2009,"hip hop"
"36907",2009,"pop"
"36916",2004,"jazz"
"36924",2004,"hip hop"
"36929",2004,"rock"
"36958",1990,"jazz"
"36966",1990,"hip hop"
"36971",1990,"rock"
"37000",2002,"jazz"
"37008",2002,"hip hop"
"37013",2002,"rock"
"37042",1990,"jazz"
"37050",1990,"hip hop"
"37055",1990,"rock"
"37081",2006,"indie"
"37085",2006,"rock"
"37111",2008,"rock"
"37121",2005,"jazz"
"37152",2005,"jazz"
"37183",2003,"rock"
"37189",2003,"indie"
"37203",2003,"pop"
"37211",2003,"rock"
"37217",2003,"indie"
"37231",2003,"pop"
"37247",1997,"rock"
"37248",1997,"jazz"
"37258",1997,"indie"
"37267",1997,"hip hop"
"37395",1992,"rock"
"37398",1992,"jazz"
"37425",1992,"hip hop"
"37432",2001,"jazz"
"37434",2001,"rock"
"37476",1995,"hip hop"
"37517",1995,"pop"
"37519",1995,"jazz"
"37520",1995,"rock"
"37526",2009,"indie"
"37529",2009,"pop"
"37570",1956,"hip hop"
"37571",1956,"jazz"
"37587",1956,"pop"
"37588",1956,"rock"
"37619",2003,"hip hop"
"37620",2003,"jazz"
"37636",2003,"pop"
"37637",2003,"rock"
"37666",2009,"indie"
"37669",2009,"pop"
"37682",2009,"hip hop"
"37685",2009,"rock"
"37708",1999,"rock"
"37735",2009,"indie"
"37747",2009,"hip hop"
"37761",2003,"indie"
"37776",2003,"rock"
"37777",2003,"pop"
"37779",2003,"hip hop"
"37789",1996,"indie"
"37792",1996,"rock"
"37807",1996,"pop"
"37823",2002,"indie"
"37826",2002,"rock"
"37841",2002,"pop"
"37857",1996,"indie"
"37860",1996,"rock"
"37875",1996,"pop"
"37891",1982,"indie"
"37894",1982,"rock"
"37909",1982,"pop"
"37925",1993,"indie"
"37928",1993,"rock"
"37943",1993,"pop"
"37959",1988,"indie"
"37962",1988,"rock"
"37977",1988,"pop"
"37993",1993,"indie"
"37996",1993,"rock"
"38011",1993,"pop"
"38027",2003,"indie"
"38030",2003,"rock"
"38045",2003,"pop"
"38061",1985,"indie"
"38064",1985,"rock"
"38079",1985,"pop"
"38095",1981,"indie"
"38098",1981,"rock"
"38113",1981,"pop"
"38129",1990,"indie"
"38132",1990,"rock"
"38147",1990,"pop"
"38161",2000,"jazz"
"38168",2000,"rock"
"38183",2000,"pop"
"38192",1967,"hip hop"
"38200",1967,"rock"
"38215",1967,"jazz"
"38221",1967,"pop"
"38263",1997,"pop"
"38264",1997,"rock"
"38273",1997,"jazz"
"38302",2010,"pop"
"38303",2010,"rock"
"38312",2010,"jazz"
"38341",2010,"pop"
"38342",2010,"rock"
"38351",2010,"jazz"
"38356",2004,"hip hop"
"38364",2004,"rock"
"38392",2007,"hip hop"
"38400",2007,"rock"
"38428",2009,"hip hop"
"38436",2009,"rock"
"38464",2009,"hip hop"
"38472",2009,"rock"
"38500",2004,"hip hop"
"38508",2004,"rock"
"38536",2004,"hip hop"
"38544",2004,"rock"
"38584",1991,"rock"
"38587",1991,"indie"
"38588",1991,"pop"
"38606",2007,"rock"
"38609",2007,"indie"
"38610",2007,"pop"
"38628",1994,"rock"
"38631",1994,"indie"
"38632",1994,"pop"
"38650",1991,"rock"
"38653",1991,"indie"
"38654",1991,"pop"
"38672",1985,"rock"
"38675",1985,"indie"
"38676",1985,"pop"
"38687",2009,"pop"
"38708",1995,"indie"
"38719",2000,"rock"
"38766",1997,"rock"
"38768",1997,"pop"
"38783",1981,"rock"
"38785",1981,"pop"
"38800",1982,"rock"
"38802",1982,"pop"
"38817",1997,"rock"
"38819",1997,"pop"
"38834",1996,"rock"
"38836",1996,"pop"
"38845",2003,"pop"
"38848",2003,"jazz"
"38852",2003,"rock"
"38860",1997,"pop"
"38863",1997,"jazz"
"38867",1997,"rock"
"38880",2005,"hip hop"
"38899",2005,"indie"
"38909",2005,"pop"
"38914",2005,"rock"
"38926",2008,"hip hop"
"38945",2008,"indie"
"38955",2008,"pop"
"38960",2008,"rock"
"38971",2006,"pop"
"38977",2006,"hip hop"
"38990",2006,"rock"
"39015",2006,"pop"
"39021",2006,"hip hop"
"39034",2006,"rock"
"39066",2005,"hip hop"
"39083",2002,"hip hop"
"39092",2009,"hip hop"
"39103",2009,"rock"
"39128",2009,"hip hop"
"39139",2009,"rock"
"39164",2009,"hip hop"
"39175",2009,"rock"
"39200",2008,"hip hop"
"39211",2008,"rock"
"39236",2007,"hip hop"
"39247",2007,"rock"
"39272",2009,"hip hop"
"39283",2009,"rock"
"39302",1999,"rock"
"39340",1961,"rock"
"39342",1961,"pop"
"39345",1961,"jazz"
"39356",1961,"hip hop"
"39386",1991,"rock"
"39388",1991,"pop"
"39391",1991,"jazz"
"39402",1991,"hip hop"
"39432",1995,"rock"
"39434",1995,"pop"
"39437",1995,"jazz"
"39448",1995,"hip hop"
"39485",2002,"hip hop"
"39498",2002,"rock"
"39499",2002,"pop"
"39508",2002,"jazz"
"39535",1985,"rock"
"39542",1985,"jazz"
"39575",1985,"rock"
"39582",1985,"jazz"
"39615",1980,"rock"
"39622",1980,"jazz"
"39655",1993,"rock"
"39662",1993,"jazz"
"39703",2001,"rock"
"39706",2001,"pop"
"39711",2001,"indie"
"39746",2001,"rock"
"39749",2001,"pop"
"39754",2001,"indie"
"39789",2001,"rock"
"39792",2001,"pop"
"39797",2001,"indie"
"39813",2000,"hip hop"
"39820",2000,"indie"
"39834",2000,"pop"
"39843",2005,"pop"
"39847",2005,"indie"
"39862",2005,"rock"
"39875",2000,"pop"
"39884",1992,"rock"
"39898",1998,"pop"
"39905",1998,"jazz"
"39931",2006,"pop"
"39964",2000,"rock"
"39983",2000,"hip hop"
"39986",2002,"rock"
"40005",2002,"hip hop"
"40008",2003,"rock"
"40027",2003,"hip hop"
"40030",1993,"rock"
"40049",1993,"hip hop"
"40052",2001,"rock"
"40071",2001,"hip hop"
"40074",2002,"rock"
"40093",2002,"hip hop"
"40096",2005,"indie"
"40101",2005,"rock"
"40115",2003,"indie"
"40120",2003,"rock"
"40134",2005,"indie"
"40139",2005,"rock"
"40158",2009,"rock"
"40167",2009,"jazz"
"40210",1996,"rock"
"40217",1996,"hip hop"
"40220",1996,"jazz"
"40231",2008,"jazz"
"40260",2003,"jazz"
"40303",2004,"pop"
"40318",2004,"rock"
"40326",1998,"pop"
"40334",1998,"rock"
"40339",1998,"jazz"
"40364",2005,"pop"
"40372",2005,"rock"
"40377",2005,"jazz"
"40402",1998,"pop"
"40410",1998,"rock"
"40415",1998,"jazz"
"40440",2001,"pop"
"40448",2001,"rock"
"40453",2001,"jazz"
"40478",1991,"pop"
"40486",1991,"rock"
"40491",1991,"jazz"
"40514",1999,"rock"
"40536",1999,"pop"
"40538",1999,"rock"
"40560",1999,"pop"
"40562",2001,"rock"
"40584",2001,"pop"
"40586",1998,"rock"
"40608",1998,"pop"
"40627",1965,"jazz"
"40633",1965,"pop"
"40634",1965,"hip hop"
"40635",1965,"rock"
"40641",1965,"indie"
"40677",1964,"jazz"
"40683",1964,"pop"
"40684",1964,"hip hop"
"40685",1964,"rock"
"40691",1964,"indie"
"40727",1964,"jazz"
"40733",1964,"pop"
"40734",1964,"hip hop"
"40735",1964,"rock"
"40741",1964,"indie"
"40777",1964,"jazz"
"40783",1964,"pop"
"40784",1964,"hip hop"
"40785",1964,"rock"
"40791",1964,"indie"
"40809",1990,"jazz"
"40812",1990,"pop"
"40818",1990,"rock"
"40825",2004,"jazz"
"40828",2004,"pop"
"40834",2004,"rock"
"40841",2004,"jazz"
"40844",2004,"pop"
"40850",2004,"rock"
"40862",2002,"pop"
"40866",2002,"rock"
"40871",2002,"indie"
"40889",2002,"pop"
"40893",2002,"rock"
"40898",2002,"indie"
"40931",1960,"hip hop"
"40934",1960,"jazz"
"40941",1960,"pop"
"40947",1960,"rock"
"40975",1960,"hip hop"
"40978",1960,"jazz"
"40985",1960,"pop"
"40991",1960,"rock"
"41019",1963,"hip hop"
"41022",1963,"jazz"
"41029",1963,"pop"
"41035",1963,"rock"
"41045",2008,"pop"
"41071",2008,"hip hop"
"41073",2008,"rock"
"41087",2008,"jazz"
"41090",2008,"pop"
"41116",2008,"hip hop"
"41118",2008,"rock"
"41132",2008,"jazz"
"41135",2001,"pop"
"41161",2001,"hip hop"
"41163",2001,"rock"
"41177",2001,"jazz"
"41180",2004,"pop"
"41206",2004,"hip hop"
"41208",2004,"rock"
"41222",2004,"jazz"
"41223",2009,"rock"
"41247",2009,"pop"
"41248",2009,"hip hop"
"41261",2009,"indie"
"41296",1998,"pop"
"41298",1998,"rock"
"41328",1984,"pop"
"41330",1984,"rock"
"41360",1984,"pop"
"41362",1984,"rock"
"41365",2009,"indie"
"41378",2009,"rock"
"41380",2009,"indie"
"41393",2009,"rock"
"41395",2008,"indie"
"41408",2008,"rock"
"41416",1996,"rock"
"41427",1984,"rock"
"41438",1998,"rock"
"41452",1986,"pop"
"41461",1986,"rock"
"41488",1982,"pop"
"41497",1982,"rock"
"41524",1986,"pop"
"41533",1986,"rock"
"41551",1984,"jazz"
"41572",1984,"rock"
"41595",1969,"jazz"
"41616",1969,"rock"
"41646",1950,"rock"
"41669",1996,"rock"
"41682",1996,"pop"
"41709",1986,"rock"
"41722",1986,"pop"
"41749",1993,"rock"
"41762",1993,"pop"
"41789",1993,"rock"
"41802",1993,"pop"
"41859",2001,"hip hop"
"41860",2001,"pop"
"41882",2006,"pop"
"41895",2006,"indie"
"41902",2006,"hip hop"
"41917",2006,"rock"
"41953",1996,"rock"
"41970",1996,"hip hop"
"41977",1996,"pop"
"41985",1980,"rock"
"42002",2003,"rock"
"42019",1978,"rock"
"42034",2006,"rock"
"42063",2008,"rock"
"42102",1995,"pop"
"42106",1995,"hip hop"
"42110",1995,"rock"
"42115",2005,"pop"
"42121",2005,"hip hop"
"42129",2005,"jazz"
"42137",2005,"indie"
"42142",2005,"rock"
"42155",2001,"pop"
"42161",2001,"hip hop"
"42169",2001,"jazz"
"42177",2001,"indie"
"42182",2001,"rock"
"42195",2005,"pop"
"42201",2005,"hip hop"
"42209",2005,"jazz"
"42217",2005,"indie"
"42222",2005,"rock"
"42235",2001,"pop"
"42241",2001,"hip hop"
"42249",2001,"jazz"
"42257",2001,"indie"
"42262",2001,"rock"
"42275",2005,"pop"
"42281",2005,"hip hop"
"42289",2005,"jazz"
"42297",2005,"indie"
"42302",2005,"rock"
"42315",2005,"pop"
"42321",2005,"hip hop"
"42329",2005,"jazz"
"42337",2005,"indie"
"42342",2005,"rock"
"42353",2009,"jazz"
"42354",2009,"hip hop"
"42355",2009,"pop"
"42392",2009,"rock"
"42395",1996,"rock"
"42399",1996,"indie"
"42401",1996,"jazz"
"42402",1996,"pop"
"42420",2001,"rock"
"42424",2001,"indie"
"42426",2001,"jazz"
"42427",2001,"pop"
"42445",1992,"rock"
"42449",1992,"indie"
"42451",1992,"jazz"
"42452",1992,"pop"
"42470",2007,"rock"
"42474",2007,"indie"
"42476",2007,"jazz"
"42477",2007,"pop"
"42495",1999,"rock"
"42499",1999,"indie"
"42501",1999,"jazz"
"42502",1999,"pop"
"42520",1999,"rock"
"42524",1999,"indie"
"42526",1999,"jazz"
"42527",1999,"pop"
"42545",1991,"rock"
"42549",1991,"indie"
"42551",1991,"jazz"
"42552",1991,"pop"
"42569",1999,"jazz"
"42585",1999,"rock"
"42599",1999,"pop"
"42603",1989,"jazz"
"42619",1989,"rock"
"42633",1989,"pop"
"42655",2006,"pop"
"42658",2006,"hip hop"
"42683",2005,"pop"
"42686",2005,"hip hop"
"42711",2005,"pop"
"42714",2005,"hip hop"
"42739",2004,"pop"
"42742",2004,"hip hop"
"42767",2001,"pop"
"42770",2001,"hip hop"
"42799",1983,"hip hop"
"42802",1983,"rock"
"42816",1983,"jazz"
"42841",1989,"hip hop"
"42844",1989,"rock"
"42858",1989,"jazz"
"42883",1989,"hip hop"
"42886",1989,"rock"
"42900",1989,"jazz"
"42909",1993,"rock"
"42943",1993,"pop"
"42968",1993,"rock"
"43002",1993,"pop"
"43027",1993,"rock"
"43061",1993,"pop"
"43086",1990,"rock"
"43120",1990,"pop"
"43148",1962,"rock"
"43166",1962,"pop"
"43170",1998,"rock"
"43179",1998,"jazz"
"43210",1998,"pop"
"43215",1998,"hip hop"
"43219",2007,"rock"
"43228",2007,"jazz"
"43259",2007,"pop"
"43264",2007,"hip hop"
"43268",1999,"rock"
"43277",1999,"jazz"
"43308",1999,"pop"
"43313",1999,"hip hop"
"43317",2001,"rock"
"43326",2001,"jazz"
"43357",2001,"pop"
"43362",2001,"hip hop"
"43366",1972,"rock"
"43375",1972,"jazz"
"43406",1972,"pop"
"43411",1972,"hip hop"
"43415",1972,"rock"
"43424",1972,"jazz"
"43455",1972,"pop"
"43460",1972,"hip hop"
"43476",1981,"jazz"
"43477",1981,"pop"
"43494",1981,"hip hop"
"43504",1970,"rock"
"43520",1970,"indie"
"43546",1971,"rock"
"43562",1971,"indie"
"43588",1969,"rock"
"43604",1969,"indie"
"43630",1971,"rock"
"43646",1971,"indie"
"43675",1988,"rock"
"43684",1999,"hip hop"
"43725",1994,"hip hop"
"43763",1998,"hip hop"
"43776",2006,"rock"
"43814",2010,"rock"
"43852",2008,"rock"
"43890",2006,"rock"
"43926",2002,"pop"
"43936",1999,"pop"
"43946",1999,"pop"
"43956",2003,"pop"
"43976",2010,"rock"
"43996",2010,"pop"
"44025",2004,"rock"
"44045",2004,"pop"
"44074",2007,"rock"
"44094",2007,"pop"
"44123",2001,"rock"
"44143",2001,"pop"
"44172",2004,"rock"
"44192",2004,"pop"
"44204",2001,"pop"
"44223",2001,"rock"
"44239",2005,"pop"
"44258",2005,"rock"
"44274",2008,"pop"
"44293",2008,"rock"
"44330",2001,"hip hop"
"44371",2002,"hip hop"
"44410",2002,"rock"
"44416",2008,"pop"
"44423",2008,"hip hop"
"44427",2008,"rock"
"44433",2004,"pop"
"44440",2004,"hip hop"
"44444",2004,"rock"
"44455",2006,"indie"
"44459",2006,"rock"
"44467",2000,"hip hop"
"44476",2000,"rock"
"44480",2002,"hip hop"
"44489",2002,"rock"
"44493",2001,"hip hop"
"44502",2001,"rock"
"44506",2001,"hip hop"
"44515",2001,"rock"
"44582",1997,"jazz"
"44602",1994,"rock"
"44603",1994,"pop"
"44613",1994,"rock"
"44614",1994,"pop"
"44635",1986,"pop"
"44640",1986,"rock"
"44661",2008,"pop"
"44666",2008,"rock"
"44687",2006,"pop"
"44692",2006,"rock"
"44713",1985,"pop"
"44718",1985,"rock"
"44739",1994,"pop"
"44744",1994,"rock"
"44765",2006,"pop"
"44770",2006,"rock"
"44775",1981,"rock"
"44797",1981,"indie"
"44804",1981,"pop"
"44824",1989,"rock"
"44835",1989,"pop"
"44842",1989,"hip hop"
"44869",2003,"rock"
"44880",2003,"pop"
"44887",2003,"hip hop"
"44914",1986,"rock"
"44925",1986,"pop"
"44932",1986,"hip hop"
"44959",1991,"rock"
"44970",1991,"pop"
"44977",1991,"hip hop"
"45004",1979,"rock"
"45015",1979,"pop"
"45022",1979,"hip hop"
"45049",1996,"rock"
"45060",1996,"pop"
"45067",1996,"hip hop"
"45094",1981,"rock"
"45105",1981,"pop"
"45112",1981,"hip hop"
"45127",1968,"pop"
"45141",1968,"rock"
"45148",1968,"jazz"
"45159",1985,"pop"
"45173",1985,"rock"
"45180",1985,"jazz"
"45189",1999,"pop"
"45192",1999,"rock"
"45202",2003,"rock"
"45208",2003,"pop"
"45219",2006,"rock"
"45225",2006,"pop"
"45234",1990,"rock"
"45257",1990,"jazz"
"45258",1990,"pop"
"45261",1990,"hip hop"
"45281",1988,"rock"
"45304",1988,"jazz"
"45305",1988,"pop"
"45308",1988,"hip hop"
"45328",2002,"rock"
"45351",2002,"jazz"
"45352",2002,"pop"
"45355",2002,"hip hop"
"45375",1990,"rock"
"45398",1990,"jazz"
"45399",1990,"pop"
"45402",1990,"hip hop"
"45424",1988,"rock"
"45430",1988,"pop"
"45434",1984,"rock"
"45440",1984,"pop"
"45444",1987,"rock"
"45450",1987,"pop"
"45454",1990,"rock"
"45460",1990,"pop"
"45467",1998,"rock"
"45476",1998,"indie"
"45482",1991,"rock"
"45483",1991,"pop"
"45491",1991,"jazz"
"45499",2008,"rock"
"45500",2008,"pop"
"45508",2008,"jazz"
"45516",1985,"rock"
"45517",1985,"pop"
"45525",1985,"jazz"
"45532",2003,"rock"
"45546",1986,"rock"
"45560",1998,"rock"
"45574",2000,"rock"
"45588",2003,"rock"
"45608",2007,"pop"
"45613",2007,"indie"
"45616",2007,"hip hop"
"45627",2004,"pop"
"45632",2004,"indie"
"45635",2004,"hip hop"
"45646",2010,"pop"
"45651",2010,"indie"
"45654",2010,"hip hop"
"45665",2003,"pop"
"45670",2003,"indie"
"45673",2003,"hip hop"
"45684",2008,"pop"
"45689",2008,"indie"
"45692",2008,"hip hop"
"45705",2000,"rock"
"45706",2000,"pop"
"45714",2000,"indie"
"45727",1995,"rock"
"45728",1995,"pop"
"45736",1995,"indie"
"45749",2004,"rock"
"45750",2004,"pop"
"45758",2004,"indie"
"45771",2001,"rock"
"45772",2001,"pop"
"45780",2001,"indie"
"45793",1995,"rock"
"45794",1995,"pop"
"45802",1995,"indie"
"45816",1992,"pop"
"45824",2007,"rock"
"45826",2007,"pop"
"45862",1995,"pop"
"45866",1995,"rock"
"45876",1970,"pop"
"45880",1970,"rock"
"45890",1974,"pop"
"45894",1974,"rock"
"45901",2004,"hip hop"
"45917",2004,"pop"
"45918",1979,"rock"
"45928",1979,"pop"
"45950",1995,"jazz"
"45974",1995,"rock"
"46040",1992,"rock"
"46058",1983,"pop"
"46082",1983,"rock"
"46096",1999,"pop"
"46120",1999,"rock"
"46134",1990,"pop"
"46158",1990,"rock"
"46178",1993,"pop"
"46184",1993,"jazz"
"46199",1993,"rock"
"46213",1990,"pop"
"46219",1990,"jazz"
"46234",1990,"rock"
"46240",2000,"rock"
"46243",2000,"hip hop"
"46246",2000,"indie"
"46263",2000,"jazz"
"46272",2000,"pop"
"46288",2002,"rock"
"46291",2002,"hip hop"
"46294",2002,"indie"
"46311",2002,"jazz"
"46320",2002,"pop"
"46337",1987,"hip hop"
"46347",1987,"pop"
"46350",1987,"indie"
"46366",1987,"rock"
"46476",1998,"jazz"
"46522",1955,"jazz"
"46547",2006,"jazz"
"46559",1988,"hip hop"
"46583",1988,"rock"
"46607",2000,"pop"
"46608",2000,"hip hop"
"46625",2000,"pop"
"46626",2000,"hip hop"
"46698",1998,"hip hop"
"46705",1998,"rock"
"46714",1998,"jazz"
"46726",1998,"pop"
"46741",2004,"hip hop"
"46760",2004,"hip hop"
"46771",2007,"pop"
"46796",2007,"pop"
"46835",1999,"rock"
"46844",1999,"indie"
"46872",1999,"rock"
"46881",1999,"indie"
"46921",2000,"pop"
"46928",2000,"jazz"
"46963",1983,"pop"
"46970",1983,"jazz"
"46979",2005,"indie"
"46991",2005,"pop"
"46999",2005,"jazz"
"47005",2005,"rock"
"47022",2000,"indie"
"47034",2000,"pop"
"47042",2000,"jazz"
"47048",2000,"rock"
"47065",2000,"indie"
"47077",2000,"pop"
"47085",2000,"jazz"
"47091",2000,"rock"
"47108",2004,"indie"
"47120",2004,"pop"
"47128",2004,"jazz"
"47134",2004,"rock"
"47177",2008,"rock"
"47219",2005,"rock"
"47242",2004,"pop"
"47263",2004,"pop"
"47278",2000,"rock"
"47288",2000,"pop"
"47301",2000,"rock"
"47311",2000,"pop"
"47324",2010,"rock"
"47334",2010,"pop"
"47347",2008,"rock"
"47357",2008,"pop"
"47370",2008,"rock"
"47380",2008,"pop"
"47393",2003,"rock"
"47403",2003,"pop"
"47416",2000,"rock"
"47426",2000,"pop"
"47433",1999,"pop"
"47444",1999,"hip hop"
"47447",1999,"rock"
"47452",1999,"jazz"
"47459",2003,"hip hop"
"47476",2003,"rock"
"47484",2003,"pop"
"47490",2003,"hip hop"
"47507",2003,"rock"
"47515",2003,"pop"
"47525",1963,"jazz"
"47526",1963,"pop"
"47540",1963,"rock"
"47586",2006,"indie"
"47596",2006,"hip hop"
"47605",2006,"pop"
"47614",2006,"rock"
"47629",2006,"indie"
"47639",2006,"hip hop"
"47648",2006,"pop"
"47657",2006,"rock"
"47679",2000,"hip hop"
"47680",2000,"pop"
"47688",2000,"rock"
"47706",1995,"rock"
"47735",2008,"pop"
"47743",2008,"hip hop"
"47749",2008,"rock"
"47780",2008,"pop"
"47788",2008,"hip hop"
"47794",2008,"rock"
"47825",2008,"pop"
"47833",2008,"hip hop"
"47839",2008,"rock"
"47870",2008,"pop"
"47878",2008,"hip hop"
"47884",2008,"rock"
"47906",1986,"rock"
"47908",1986,"indie"
"47911",1986,"hip hop"
"47913",1986,"pop"
"47936",2006,"jazz"
"47949",2006,"rock"
"47950",2006,"pop"
"47951",2006,"indie"
"47952",2006,"hip hop"
"47963",2004,"jazz"
"47976",2004,"rock"
"47977",2004,"pop"
"47978",2004,"indie"
"47979",2004,"hip hop"
"47990",2004,"jazz"
"48003",2004,"rock"
"48004",2004,"pop"
"48005",2004,"indie"
"48006",2004,"hip hop"
"48017",2002,"jazz"
"48030",2002,"rock"
"48031",2002,"pop"
"48032",2002,"indie"
"48033",2002,"hip hop"
"48044",2004,"jazz"
"48057",2004,"rock"
"48058",2004,"pop"
"48059",2004,"indie"
"48060",2004,"hip hop"
"48074",2006,"jazz"
"48077",2006,"hip hop"
"48081",2006,"pop"
"48085",2004,"jazz"
"48088",2004,"hip hop"
"48092",2004,"pop"
"48096",2008,"jazz"
"48099",2008,"hip hop"
"48103",2008,"pop"
"48105",2000,"rock"
"48149",1991,"pop"
"48151",1991,"rock"
"48152",1991,"indie"
"48189",1964,"pop"
"48191",1964,"rock"
"48192",1964,"indie"
"48222",2002,"rock"
"48226",2002,"pop"
"48243",2002,"hip hop"
"48270",2005,"rock"
"48274",2005,"pop"
"48291",2005,"hip hop"
"48318",2004,"rock"
"48322",2004,"pop"
"48339",2004,"hip hop"
"48366",2007,"rock"
"48370",2007,"pop"
"48387",2007,"hip hop"
"48414",2003,"rock"
"48418",2003,"pop"
"48435",2003,"hip hop"
"48443",2004,"indie"
"48455",2004,"rock"
"48461",2004,"pop"
"48466",2004,"jazz"
"48467",2005,"indie"
"48479",2005,"rock"
"48485",2005,"pop"
"48490",2005,"jazz"
"48491",2007,"indie"
"48503",2007,"rock"
"48509",2007,"pop"
"48514",2007,"jazz"
"48515",2005,"indie"
"48527",2005,"rock"
"48533",2005,"pop"
"48538",2005,"jazz"
"48561",1996,"rock"
"48563",1996,"hip hop"
"48567",1996,"pop"
"48574",1996,"indie"
"48589",1996,"jazz"
"48609",1998,"rock"
"48611",1998,"hip hop"
"48615",1998,"pop"
"48622",1998,"indie"
"48637",1998,"jazz"
"48670",1998,"rock"
"48674",1994,"rock"
"48700",1994,"pop"
"48730",1995,"jazz"
"48737",1995,"indie"
"48739",1995,"rock"
"48742",1995,"hip hop"
"48769",1993,"pop"
"48785",1997,"pop"
"48801",2003,"pop"
"48806",2009,"rock"
"48821",2000,"rock"
"48836",2007,"rock"
"48851",2001,"rock"
"48866",2004,"hip hop"
"48877",2004,"rock"
"48903",2004,"indie"
"48906",2004,"pop"
"48911",2004,"indie"
"48912",2004,"jazz"
"48926",2004,"indie"
"48927",2004,"jazz"
"48951",2008,"rock"
"48979",1963,"pop"
"48985",1963,"indie"
"49000",1963,"rock"
"49017",1963,"jazz"
"49023",1968,"pop"
"49029",1968,"indie"
"49044",1968,"rock"
"49061",1968,"jazz"
"49067",1972,"pop"
"49073",1972,"indie"
"49088",1972,"rock"
"49105",1972,"jazz"
"49109",2005,"rock"
"49128",2005,"rock"
"49130",2005,"pop"
"49165",2005,"hip hop"
"49175",2001,"rock"
"49177",2001,"pop"
"49212",2001,"hip hop"
"49222",2002,"rock"
"49224",2002,"pop"
"49259",2002,"hip hop"
"49271",1993,"pop"
"49276",1993,"rock"
"49317",1999,"pop"
"49322",1999,"rock"
"49363",1970,"pop"
"49368",1970,"rock"
"49405",2004,"jazz"
"49408",2004,"rock"
"49429",2003,"pop"
"49448",2003,"jazz"
"49453",2003,"rock"
"49471",1995,"pop"
"49490",1995,"jazz"
"49495",1995,"rock"
"49513",2008,"pop"
"49532",2008,"jazz"
"49537",2008,"rock"
"49549",2009,"indie"
"49561",2009,"indie"
"49568",2005,"pop"
"49571",2005,"rock"
"49578",1999,"pop"
"49581",1999,"rock"
"49588",2002,"pop"
"49591",2002,"rock"
"49598",1997,"pop"
"49601",1997,"rock"
"49609",2004,"indie"
"49619",2004,"hip hop"
"49622",1998,"pop"
"49631",1977,"pop"
"49640",1977,"pop"
"49649",1977,"pop"
"49658",1988,"pop"
"49667",2004,"pop"
"49688",2008,"rock"
"49705",1967,"rock"
"49726",1967,"jazz"
"49728",1967,"pop"
"49742",1972,"rock"
"49763",1972,"jazz"
"49765",1972,"pop"
"49854",1991,"hip hop"
"49857",1991,"pop"
"49858",1991,"rock"
"49890",1991,"jazz"
"50043",2001,"pop"
"50054",2001,"rock"
"50058",2001,"jazz"
"50083",1985,"pop"
"50094",1985,"rock"
"50098",1985,"jazz"
"50123",1978,"pop"
"50134",1978,"rock"
"50138",1978,"jazz"
"50163",1966,"pop"
"50174",1966,"rock"
"50178",1966,"jazz"
"50203",1977,"pop"
"50214",1977,"rock"
"50218",1977,"jazz"
"50243",1979,"pop"
"50254",1979,"rock"
"50258",1979,"jazz"
"50308",1999,"jazz"
"50314",1999,"rock"
"50320",2008,"hip hop"
"50332",2008,"indie"
"50337",2008,"rock"
"50358",1989,"jazz"
"50361",1989,"rock"
"50364",1989,"pop"
"50373",2001,"jazz"
"50376",2001,"rock"
"50379",2001,"pop"
"50388",1989,"jazz"
"50391",1989,"rock"
"50394",1989,"pop"
"50408",2009,"rock"
"50411",2009,"pop"
"50412",2009,"hip hop"
"50424",2009,"jazz"
"50428",2009,"indie"
"50456",2009,"rock"
"50459",2009,"pop"
"50460",2009,"hip hop"
"50472",2009,"jazz"
"50476",2009,"indie"
"50504",1987,"rock"
"50507",1987,"pop"
"50508",1987,"hip hop"
"50520",1987,"jazz"
"50524",1987,"indie"
"50552",2005,"rock"
"50555",2005,"pop"
"50556",2005,"hip hop"
"50568",2005,"jazz"
"50572",2005,"indie"
"50600",2007,"rock"
"50603",2007,"pop"
"50604",2007,"hip hop"
"50616",2007,"jazz"
"50620",2007,"indie"
"50648",1992,"rock"
"50651",1992,"pop"
"50652",1992,"hip hop"
"50664",1992,"jazz"
"50668",1992,"indie"
"50696",1974,"rock"
"50707",1986,"rock"
"50718",1975,"rock"
"50729",1979,"rock"
"50740",1974,"rock"
"50751",1979,"rock"
"50762",1976,"rock"
"50796",1993,"rock"
"50812",1993,"rock"
"50822",2007,"rock"
"50827",2007,"pop"
"50843",1999,"rock"
"50848",1999,"pop"
"50864",2005,"rock"
"50869",2005,"pop"
"50878",1999,"indie"
"50880",1999,"hip hop"
"50910",1999,"jazz"
"50918",1999,"rock"
"50931",2008,"pop"
"50941",2008,"rock"
"50951",1998,"pop"
"50961",1998,"rock"
"50971",1995,"pop"
"50981",1995,"rock"
"50991",2007,"pop"
"51001",2007,"rock"
"51019",2000,"jazz"
"51030",2000,"rock"
"51033",2000,"hip hop"
"51039",2000,"pop"
"51052",2008,"hip hop"
"51060",2008,"pop"
"51072",2008,"rock"
"51079",2008,"indie"
"51089",2006,"hip hop"
"51097",2006,"pop"
"51109",2006,"rock"
"51116",2006,"indie"
"51135",2006,"pop"
"51139",2006,"rock"
"51152",2006,"pop"
"51156",2006,"rock"
"51184",2004,"rock"
"51224",2009,"rock"
"51264",2001,"rock"
