"","V1","V2","V3","V4"
"1072",1992,"TRBCEAB12903CA10FC","Gene Autry","Blueberry Hill"
"1073",1992,"TRASXZE128F427F156","Heavenly","Smile"
"1074",1992,"TRAVBAH128F9305DFC","Helmet","Give It"
"1075",1992,"TRAJGCF128F1499E61","Izzy Stradlin And The Ju Ju Hounds","Train Tracks"
"1076",1992,"TRAQEEB128F9332D97","Jaydee","Plastic Dreams"
"1077",1992,"TRANMOT128F92EFF19","Kathy Mattea","Standing Knee Deep In a River (Dying Of Thirst)"
"1078",1992,"TRAKMLM128F14932B0","L.A. Guns","Some Lie For Love"
"1079",1992,"TRAIJMG12903D08168","L7","This Ain't Pleasure"
"1080",1992,"TRBCQDO128F9314C76","Lole y Manuel","Aljarafe"
"1081",1992,"TRADAFY128F145B77B","Marlene Dietrich","Auf Der Mundharmonika"
"1082",1992,"TRAILTN128F42796DB","Mau Mau","Neir"
"1083",1992,"TRAXDZH128F425C673","Michael Gettel","Memory In The Snow"
"1084",1992,"TRAOEFE128F425C67A","Michael Gettel","Through Bucky's Eyes"
"1085",1992,"TRAVXZP128F425C677","Michael Gettel","River Run"
"1086",1992,"TRASXHB128F933D3BD","Mighty Mighty Bosstones","They Came To Boston"
"1087",1992,"TRBAYER128F933D3B7","Mighty Mighty Bosstones","Guns And The Young"
"1088",1992,"TRAAFJW128F428A424","NOFX","Stickin In My Eye"
"1089",1992,"TRAKKGJ128F1469B28","Papa Wemba","Zero"
"1090",1992,"TRBCBMG12903CDE2A4","Peggy Lee","Mr. Wonderful"
"1091",1992,"TRAWEIX128F14B0F05","Pete Rock & C.L. Smooth","They Reminisce Over You (Single Version)"
"1092",1992,"TRASKSG12903CDA87C","Ray Barretto","Guarare"
"1093",1992,"TRALMTD128E07862AC","Redman","Jam 4 U"
"1094",1992,"TRBEYPA128F933197C","Richard Galliano","Honey Fingers"
"1095",1992,"TRBGYBT128F428C80B","Rita Chiarelli","This Is My Life"
"1096",1992,"TRABTTC12903CC34E8","Rudolph Valentino","Kashmiri Love Song"
"1097",1992,"TRADUSB128F92C50C6","Shamen","Scientas"
"1098",1992,"TRALIOV128F92C50C4","Shamen","Phorever People"
"1099",1992,"TRAMDHN128F92F5E19","Sierra Maestra","Abandonada / Blancas azucenas"
"1100",1992,"TRBFKHT128F427215E","Sophie B. Hawkins","I Want You"
"1101",1992,"TRACBLO128E0784286","Spinal Tap","The Majesty Of Rock"
"1102",1992,"TRAADNA128F9331246","Stevie Ray Vaughan","Crossfire"
"1103",1992,"TRAJOWK128F4263735","Suicidal Tendencies","It's Going Down"
"1104",1992,"TRAWJPF128F42626DB","Suicidal Tendencies","Monopoly On Sorrow"
"1105",1992,"TRASUDV128F42B86FB","Sunscreem","Perfect Motion"
"1106",1992,"TRAYMYA128F4262C9D","Super Cat","Them No Care"
"1107",1992,"TRAVUOW128F4262955","Super Cat","Oh It's You"
"1108",1992,"TRBFRPH128F42593D2","T.G. Sheppard","You're My First Lady"
"1109",1992,"TRBATJY128F4248894","Terry Riley","Peace Dance"
"1110",1992,"TRAGLZM128F931C995","The B-52's","Tell It Like It T-I-IS (Album Version)"
"1111",1992,"TRAIMFD128F92ED3CD","The Black Crowes","Sting Me"
"1112",1992,"TRAJZXZ128F4285158","The Chieftains;Colin James","Cúnla/The Friar's Breeches"
"1113",1992,"TRBFUNY128C7196B7D","The Disposable Heroes Of Hiphoprisy","Music And Politics"
"1114",1992,"TRAQFDL128F427E823","The Jason Bonham Band","Bing"
"1115",1992,"TRBFRZI128F427E827","The Jason Bonham Band","Hold On"
"1116",1992,"TRAUMNH128F92FB67F","The Jeff Healey Band","It Could All Get Blown Away"
"1117",1992,"TRAFPDD128F92FBBA6","Tom Barabas","More Than Words"
"1118",1992,"TRAEPGE128F9328E94","Tom Barabas","Sedona Suite (Sunrise/Prayer/Joy/Sunset)"
"1119",1992,"TRAJBGL128F145C7A8","Tom Cochrane","Washed Away"
"1120",1992,"TRBBANR128F4277C5B","U2","40"
"1121",1992,"TRAYNJN128F427A1AF","Vilma Palma e Vampiros","Bye Bye"
"1122",1992,"TRAYLKH128F427BCCC","W.A.S.P.","When The Levee Breaks"
"1123",1992,"TRBDBVM128F427BCC9","W.A.S.P.","Phantoms In The Mirror"
"1124",1992,"TRAVASN128F9361074","Walter Trout","Earrings on the Table"
"1125",1992,"TRAQKVM128F145BB26","Wendy Moten","Make This Love Last"
"1126",1992,"TRAMFIU128F426B004","Wesley Tuttle","With Tears In My Eyes"
"1127",1992,"TRAHZMM128E07838FF","Wet Wet Wet","Goodnight Girl"
"1128",1992,"TRAXOPF128F428B670","Will Ackerman","A Movie Of A Placid Lake On A Moonless Night In September - Reprise"
"1129",1992,"TRBGBWK128F4292BDC","Will Ackerman","A Movie Of A Placid Lake On A Moonless Night in September"
"1130",1993,"TRAYHQD128F930F4F2","5th Ward Boyz","Studio Gangster"
"1131",1993,"TRAFKSA128F930F4FA","5th Ward Boyz","Undercover Gangstas"
"1132",1993,"TRAZEZW128F930F4FF","5th Ward Boyz","Ho Shit (Chopped&Screwed)"
"1133",1993,"TRAVFSW128F145C1D2","ARRESTED DEVELOPMENT","Raining Revolution (Live) (Unplugged)"
"1134",1993,"TRAYKOC128F930D2B8","Aerosmith","Cryin'"
"1135",1993,"TRAZDPO128E078ECE6","Aerosmith","Crazy"
"1136",1993,"TRAQPKV128E078EE32","Aerosmith","Livin' On The Edge"
"1137",1993,"TRBGPJP128E078ED20","Aerosmith","Crazy"
"1138",1993,"TRARFXI128F1468CE3","Albert Collins","Same Old Thing"
"1139",1993,"TRAFTVR128F14775A1","Apache Indian","Badd Indian"
"1140",1993,"TRAYUDA128F93576ED","Arthur Tracy","So Do I"
"1141",1993,"TRBHZGF128F93576EF","Arthur Tracy","Red Sails In The Sunset"
"1142",1993,"TRBAZHZ128F93576F2","Arthur Tracy","A Sailboat In The Moonlight"
"1143",1993,"TRAIRIK128F92F0212","Beherit","Werewolf_ Semen And Blood"
"1144",1993,"TRAOINP128F92F0217","Beherit","Lord of Shadows and Golden Wood"
"1145",1993,"TRAJVBC128F92F76B2","Bill Douglas","Sapphire"
"1146",1993,"TRBHKSA128F92FDBEA","Bob Willis","Ida Red"
"1147",1993,"TRAJUXT128F932B03C","Buju Banton","Searching"
"1148",1993,"TRAVQBP128F145BB9B","Butthole Surfers","Tongue"
"1149",1993,"TRAPRDY128F930DBA5","Captain Hollywood Project","All I Want"
"1150",1993,"TRAGKLF128F9315B67","Carl Smith","Hey Joe"
"1151",1993,"TRATNHC12903CFA949","Carl Smith","Hey Joe"
"1152",1993,"TRATPRE128F931B12E","Carl Smith","Hey Joe"
"1153",1993,"TRBHNQO128F4257526","Cocoa Tea","Getting Closer"
"1154",1993,"TRBFPYV128F421FA78","D.R.S.","Gangsta Lean (Gangstapella)"
"1155",1993,"TRAUODU128F9307467","DAVE MATTHEWS BAND","Tripping Billies"
"1156",1993,"TRBENDH128F1467D62","Devo","Be Stiff (Live)"
"1157",1993,"TRAJTCX128F42990AD","Diamanda Galas","Vena Cava 8"
"1158",1993,"TRAWGKB128F4268327","Disembowelment","Your Prophetic Throne Of Ivory"
"1159",1993,"TRAIAOL12903CEB667","Dolores Keane","Telling Me Lies"
"1160",1993,"TRAGTPQ128F42920A5","Dolores Keane","Storm In My Heart"
"1161",1993,"TRAJZPU128F422C1D2","Eberhard Weber","Unfinished Self-Portrait"
"1162",1993,"TRAHXFG12903CCED81","Elmore James","Strange Kinda Feeling (Take 4)"
"1163",1993,"TRAXEQE128EF35CB1C","Eric Champion","Why Do We Do?"
"1164",1993,"TRAYFKN128F148C55A","Erick Sermon","Intro"
"1165",1993,"TRAKJTB128F148C560","Erick Sermon","Safe Sex"
"1166",1993,"TRAKTZY128F148C55C","Erick Sermon","Stay Real"
"1167",1993,"TRBEYDS128F148C563","Erick Sermon","Erick Sermon"
"1168",1993,"TRAPJLL128F92EC0E1","Extrabreit","Für mich soll's rote Rosen regnen"
"1169",1993,"TRAFBDA128F14592A9","Ghorwane","Matarlatanta"
"1170",1993,"TRAYZHZ12903CB576F","Glad","Immortal_ Invisible"
"1171",1993,"TRABAZH128F930419A","Glad","Blessed Assurance"
"1172",1993,"TRAZCWP12903CB5764","Glad","This is My Father's World/For the Beauty of the Earth"
"1173",1993,"TRAOHYY128F932B1C9","Grant Geissman","Silent Movies (Album Version)"
"1174",1993,"TRALRKT128F932B1CD","Grant Geissman","Chaco (Album Version)"
"1175",1993,"TRANOBE12903CE4DF3","Hall & Oates","Perkiomen"
"1176",1993,"TRAKUKL128F4295046","Isabel Pantoja","Porque Me Gusta A Morir"
"1177",1993,"TRBFBYF12903CFB6B4","Jackie Wilson","One Moment With You"
"1178",1993,"TRAGWOU12903CE3BF1","James Ingram","A Baby's Born"
"1179",1993,"TRANIVG128F1484DED","Janet Jackson","Again"
"1180",1993,"TRAKORW128F1484DF0","Janet Jackson","Hold On Baby"
"1181",1993,"TRBGOAU128F4255BDA","Janet Jackson","Again (Instrumental)"
"1182",1993,"TRAJARM128F426379B","Janitor Joe","Boyfriend"
"1183",1993,"TRBDVBK128F4263798","Janitor Joe","Voucher"
"1184",1993,"TRBHGUK128E078E031","Jesus Jones","Yellow Brown"
"1185",1993,"TRAOAYQ128F428A098","K.T. Oslin","Come Next Monday"
"1186",1993,"TRAXQNR128F4282B06","Kaija Koo","Tule lähemmäs Beibi"
"1187",1993,"TRAZDKY128F4235130","Kaija Koo","Viimeinen lento"
"1188",1993,"TRARCNN12903CD5262","Kenny Rogers","Reuben James"
"1189",1993,"TRACFCQ128F4214EB6","Kitaro","Trong Com"
"1190",1993,"TRABUML128F4214EBB","Kitaro","Village Attack/ The Arrest"
"1191",1993,"TRBABHR12903CBCE9C","Leaders Of The New School","The End Is Near (LP Version)"
"1192",1993,"TRBADZM12903CBCEA0","Leaders Of The New School","Zearocks (LP Version)"
"1193",1993,"TRATBXO128F1466466","Lords Of The Underground","Check It (Explicit)"
"1194",1993,"TRAJXQL128F428CAF0","Los Del Rio","Macarena"
"1195",1993,"TRBCVWC128F932F321","Los Del Rio","Macarena"
"1196",1993,"TRAFTMA128F933A3D7","Los Fabulosos Cadillacs","Matador"
"1197",1993,"TRAPTNN128F933B0AA","Los Fabulosos Cadillacs","Manuel Santillán_ El León (Versión Reggae)"
"1198",1993,"TRATHRY128F92C319D","Love Jones","I Like Young Girls"
"1199",1993,"TRAQDXE128F92C3197","Love Jones","Matter Of Fact"
"1200",1993,"TRAAXCM128F427F97B","Malkit Singh","Hai Shava"
"1201",1993,"TRAWOSK128F9343720","Malkit Singh","Dhol Ton Bina"
"1202",1993,"TRARWXF128F9353B37","Mance Lipscomb","So Different Blues"
"1203",1993,"TRBDXQL128F424392E","Margaret Becker","Sweet Suffering Christ"
"1204",1993,"TRBDOFA128F427C09D","Mariah Carey","Anytime You Need A Friend"
"1205",1993,"TRBBEGG128F9314BAA","Martina McBride","Heart Trouble"
"1206",1993,"TRBHNEU128F426E873","Mary Black","Flesh And Blood"
"1207",1993,"TRANKQG128F9308D2A","Max Steiner","Presenting The Eight Wonder Of The World"
"1208",1993,"TRAWLTZ128F9308CC9","Max Steiner","The Scarifice Ceremony"
"1209",1993,"TRAZKTZ128F425C690","Michael Gettel","Turning Of A Key"
"1210",1993,"TRADLYD128F92FEBFF","Mudhoney","Between Me & You Kid (Album Version)"
"1211",1993,"TRANMXY128F1489C65","Naughty By Nature","The Hood Comes First (LP Version)"
"1212",1993,"TRBESGH128E0788912","Nick Cave & The Bad Seeds","New Morning (Live)"
"1213",1993,"TRAXPHE128F92F4100","Paul Rogers","The Hunter"
"1214",1993,"TRBFVZI128F147FCAF","Phil Collins","Please Come Out Tonight"
"1215",1993,"TRBGRIP128F147FCA6","Phil Collins","Everyday"
"1216",1993,"TRAMPHV12903CF952C","Professor Longhair","No Buts - No Maybes"
"1217",1993,"TRAMBLO128F4287D24","RUN-DMC","Can I Get A Witness"
"1218",1993,"TRAZVFJ128F9310CE2","Radiohead","Vegetable (Live)"
"1219",1993,"TRAKYWY128F9310CF4","Radiohead","Stop Whispering (US Version)"
"1220",1993,"TRADPPX128E078B0BC","Randy Travis","Down At The Old Corral (Album Version)"
"1221",1993,"TRAEGUL128E078B0C1","Randy Travis","Wind In The Wire (Album Version)"
"1222",1993,"TRABFQC128F4265349","Regina Belle","Quiet Time"
"1223",1993,"TRAWGDB128F42AD39D","Regina Belle","Quiet Time"
"1224",1993,"TRBBOUN128F425A4E6","Rick Astley","Hopelessly"
"1225",1993,"TRABLND12903CA653B","Rodney O & Joe Cooley","U Don't Hear Me Tho' (Street Mix)"
"1226",1993,"TRAUIGU128F92EA6DA","S.U.P","4tx.31b"
"1227",1993,"TRBECAL128F4270F27","Saigon Kick","The Way"
"1228",1993,"TRACZDR128F14599BC","Semisonic","If I Run"
"1229",1993,"TRAIRHS128F4287576","Sleepy John Estes","Need More Blues"
"1230",1993,"TRBHHCU128F148AF19","Slim Harpo","I Love The Life I'm Living"
"1231",1993,"TRAMPPX128F429BF75","Slim Whitman","Cattle Call"
"1232",1993,"TRAXIES128F426C8F0","Tam Tam Go!","Belleza Pasajera"
"1233",1993,"TRBHJFG128F426C8EA","Tam Tam Go!","En La Tierra Caliente"
"1234",1993,"TRAZHAJ128F4289AE1","Tha Alkaholiks","Only When I'm Drunk"
"1235",1993,"TRAEGRF128F426B2D2","The Clancy Brothers","Water Is Alright In Tay"
"1236",1993,"TRBEBNV128F423783D","The Germs","Going Down"
"1237",1993,"TRBDCAH128EF362D31","The Pharcyde","Passin' Me By"
"1238",1993,"TRAMOPU128E07888FD","The Smashing Pumpkins","Rocket"
"1239",1993,"TRAJFCC12903CC55AD","Tito Puente","Mambo Tipico"
"1240",1993,"TRAEQTU12903CC55A2","Tito Puente","Mambo Suavecito"
"1241",1993,"TRBDSLA128F4288246","Toni Braxton","Best Friend"
"1242",1993,"TRBBILK128F14A2FD6","Tony Joe White","The Coloness Of The Chain"
"1243",1993,"TRAYYZG12903CE7914","U.K. Subs","Warhead (Live in Croatia_ 1993)"
"1244",1993,"TRBAAXL12903CE78EE","U.K. Subs","Fear of Girls (Live in Croatia_ 1993)"
"1245",1993,"TRBAAGQ128F148D17E","Urge Overkill","Crackbabies"
"1246",1993,"TRASOWA128F427A1B6","Vilma Palma e Vampiros","Verano traidor"
"1247",1993,"TRADGLP128F427A172","Vilma Palma e Vampiros","Te quiero tanto"
"1248",1993,"TRAYUSC12903C93E24","Wendo Kolosoy","Marie Marie"
"1249",1993,"TRAIIUE128E07826EC","William Orbit","Harry Flowers"
"1250",1993,"TRAEUGG128E07826F2","William Orbit","The Monkey King"
"1251",1993,"TRBBJVD128E07826F3","William Orbit","Deus Ex Machina"
"1252",1993,"TRAXDEF128F4253194","Zbigniew Preisner","Colin Tries Standing"
"1253",1993,"TRBGNAF128F4253180","Zbigniew Preisner","Leaving The Docks"
"1254",1993,"TRANANS128F14ABE7E","ÄI-TIEM","All das mag ich"
"1255",1993,"TRADJPN128F14ABE7A","ÄI-TIEM","Kleina Wixa"
"1256",1994,"TRAJMQE128F9322DDD","2 Minutos","Vos No Confiaste"
"1257",1994,"TRALUTY128F9322DC0","2 Minutos","Como Caramelo De Limón"
"1258",1994,"TRBCGXG128F9322DBB","2 Minutos","14 Botellas"
"1259",1994,"TRAFGMJ128F930F532","4Him","Wings"
"1260",1994,"TRAWUEC128F930F518","5th Ward Boyz","Ghetto Curse Words (Chopped&Screwed)"
"1261",1994,"TRBGHKE128F9343BDD","Ai Ai Ai","Com Una Flama"
"1262",1994,"TRAMNGQ128F92F56EE","Alternative TV","Lemons_ For Kevin"
"1263",1994,"TRAVGNH128F428CBA9","Amorphis","Into Hiding"
"1264",1994,"TRAEOUM128F42915ED","Andreas Dorau","Das Telefon sagt Du"
"1265",1994,"TRAXRSK128F42B44D2","Bad Religion","Infected"
"1266",1994,"TRAPVJC128F4285891","Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd","Don't Sit Under The Apple Tree"
"1267",1994,"TRACLPE128F4287687","Basic Channel","Phylyps Trak II/II"
"1268",1994,"TRAJQXD128F428767D","Basic Channel","Radiance I"
"1269",1994,"TRAMCND128F1466ACF","Beastie Boys","Get It Together"
"1270",1994,"TRAPLSD128E0781A94","Beastie Boys","Eugene's Lament"
"1271",1994,"TRAERST128F4266F90","Bob Carlisle","Man Of No Reputation"
"1272",1994,"TRAAIHL128F92E6DDA","Boyz II Men","On Bended Knee"
"1273",1994,"TRAWCJY128F146A1D5","Bryan Ferry","Don't Want To Know (1999 Digital Remaster)"
"1274",1994,"TRAKPSR128F146A1DC","Bryan Ferry","Wildcat Days (1999 Digital Remaster)"
"1275",1994,"TRAMJTV128F425A5A4","Cheri Keaggy","The Cross That Bears His Name"
"1276",1994,"TRAKCAE128F92DACD8","Claude François","Le chanteur malheureux"
"1277",1994,"TRAHFWJ128F92C9F86","Count Ossie","No Night In Zion - Original"
"1278",1994,"TRAANLO128F422AE37","Cradle Of Filth","Summer Dying Fast"
"1279",1994,"TRALRKB128F42B74D2","Dave Weckl","Just An Illusion"
"1280",1994,"TRACVFF12903CF055A","Dinosaur Jr","On The Brink"
"1281",1994,"TRAOAXK128F4268FE6","Eddie Cantor","When My Ship Comes In"
"1282",1994,"TRAZYFD128F42A0A51","FU-Schnickens","Visions (20/20)"
"1283",1994,"TRBBLFA12903CDC496","Faron Young","I'll Be Yours"
"1284",1994,"TRARVSP128F4250FD6","Flora Purim","Above The Rainbow"
"1285",1994,"TRANELD128F4250FCF","Flora Purim","Latinas"
"1286",1994,"TRAQMNQ128F4250FD8","Flora Purim","Tomara (I Wish)"
"1287",1994,"TRAQAMG128F934AED9","GWAR","Slap U Around"
"1288",1994,"TRANLSP128F14671CA","Gang Starr","The Planet (Explicit)"
"1289",1994,"TRAPISC128F14671D3","Gang Starr","Mostly Tha Voice (Explicit)"
"1290",1994,"TRAMTTD128F42246F3","Gene Chandler","Festival Of Love"
"1291",1994,"TRAEWUW128F42710A4","Gold City","It Came Upon The Midnight Clear"
"1292",1994,"TRAOSFC128F42618F6","Harry Connick_ Jr.","Here Comes The Big Parade"
"1293",1994,"TRABIWU12903CDF3B7","Helen Love","So Hot"
"1294",1994,"TRASTZP12903CDF4AB","Helen Love","Rollercoasting"
"1295",1994,"TRASGKM128F42644C5","Helmet","Street Crab"
"1296",1994,"TRAPOYU128F42644C3","Helmet","Tic"
"1297",1994,"TRAGZRF128E0781872","Inspiral Carpets","Party In The Sky"
"1298",1994,"TRATXSW128F4243364","Jack Off Jill","Yellow Brick Road"
"1299",1994,"TRAOTMV128F934F29D","Jim Chappell","In The Hills"
"1300",1994,"TRAJDTK128F429FFDF","Jim Reeves","I'd Like To Be"
"1301",1994,"TRAETTV12903CBBD09","Jimi Hendrix","Voodoo Chile Blues"
"1302",1994,"TRBCSPV128F4262DD7","Jimmie Vaughan","Don't Cha Know"
"1303",1994,"TRAJLGV128F4232684","Joshua Rifkin","Fig Leaf Rag  (LP Version)"
"1304",1994,"TRBDUXF128F4232689","Joshua Rifkin","Paragon Rag  (LP Version)"
"1305",1994,"TRABVIH128F92EDCDA","Jude Taylor & His Burning Flames","The Thrill Is Gone"
"1306",1994,"TRADMKA128F9344497","Juice Leskinen","Marilyn"
"1307",1994,"TRBFRYS128F1468FA5","Julien Clerc","Ma Préférence (Live)"
"1308",1994,"TRBBRRS128F4256EEF","Junior Reid","No Loafting"
"1309",1994,"TRBCRVT128F93073E7","Kathy Troccoli","Never My Love"
"1310",1994,"TRAIVMM128F4266056","Keb'Mo'","Anybody Seen My Girl"
"1311",1994,"TRAVKGM12903CA66FB","L7","Baggage"
"1312",1994,"TRAGADP128EF341C7F","Lady Saw","Bare As You Dare"
"1313",1994,"TRBFALE128EF341C77","Lady Saw","To Sir With Love"
"1314",1994,"TRBBKXZ128F4215C88","Lara Fabian","Ramène Moi"
"1315",1994,"TRBADJM128E078CEF4","Lennie Tristano","Becoming (LP Version)"
"1316",1994,"TRAXVEB128F14743BB","Line Renaud","Cent Mille Guitares"
"1317",1994,"TRAMLMB128F14743B1","Line Renaud","Il Y A Des Anges"
"1318",1994,"TRAGHSE128F14743B2","Line Renaud","Gwendolina"
"1319",1994,"TRBBDDG128F14743AE","Line Renaud","Mambo Bacan"
"1320",1994,"TRBGMWD12903D0F674","Little Milton","Lookin' for My Baby"
"1321",1994,"TRAEPGQ128F932AE6D","Loretta Lynn","I Can't Feel You Anymore"
"1322",1994,"TRAQYVG128F92FE7E1","Loudon Wainwright III","How Old Are You"
"1323",1994,"TRAYHSN128F427E065","Luis Alberto Spinetta","Oh! Doctor"
"1324",1994,"TRADYJM128F427E05B","Luis Alberto Spinetta","Verde Bosque"
"1325",1994,"TRANGYF128E0786C33","Madonna","Bedtime Story (Album Version)"
"1326",1994,"TRAWBVQ128F149ADFD","Mau Mau","Balon Combo"
"1327",1994,"TRATYNL128F429D572","Montserrat Caballé","The Phantom Of The Opera/Wishing You Were Somehow Here Again"
"1328",1994,"TRAEOMS128F4262357","NOFX","My Heart Is Yearning"
"1329",1994,"TRAYPMR128E0785DD1","Nick Cave & The Bad Seeds","Loverman"
"1330",1994,"TRAFRYJ128F92E638B","Nine Inch Nails","Memorabilia"
"1331",1994,"TRAGEHE128F423E5A1","Orbital","Are We Here ?"
"1332",1994,"TRBBNHZ128F423E599","Orbital","Forever"
"1333",1994,"TRAJDGB128F42882AC","OutKast","Call Of Da Wild"
"1334",1994,"TRAILLW128F4278C90","Pascal Obispo","Chlore"
"1335",1994,"TRAZYZQ128F146653D","Patience Dabany","Abagui Alobi"
"1336",1994,"TRALLOU12903CC36FE","Pierre Perret","Le poulet"
"1337",1994,"TRBBLTV12903CC3C00","Pierre Perret","Marcel"
"1338",1994,"TRBGMAZ12903CC3707","Pierre Perret","L'idole des femmes"
"1339",1994,"TRAZNLA128F930A44E","R. Carlos Nakai","Red Wind (World)"
"1340",1994,"TRAUTKA128F428060B","Rauni Pekkala","Miesten tähden"
"1341",1994,"TRAQTOS128F428E94B","SKYCLAD","The One Piece Puzzle"
"1342",1994,"TRBEMJC128F14A6E0D","SNAP!","The World In My Hands (We Are One)"
"1343",1994,"TRAURGF128F427E9B5","Sandra Mihanovich","Cuatro Estrofas"
"1344",1994,"TRACUVF128F4250C51","Shaggy","Alimony"
"1345",1994,"TRAXJBW128E0788652","Sick Of It All","Consume (LP Version)"
"1346",1994,"TRALERB128F4243938","Sierra Maestra","No Me Llores Más"
"1347",1994,"TRADNJI128F14555DB","Sister Hazel","Space Between Us (Album Version)"
"1348",1994,"TRBHEMP128F932DA55","Sonic Subjunkies","Djungelstadt"
"1349",1994,"TRAXEAY128F931C3D0","Sonny Terry","My Baby Likes To Shuffle"
"1350",1994,"TRAYZBA128F4264551","Sophie B. Hawkins","Did We Not Choose Each Other"
"1351",1994,"TRABCIX128F4265903","Sophie B. Hawkins","The Ballad Of Sleeping Beauty"
"1352",1994,"TRAQJGB128F426A9B6","Stevie Ray Vaughan And Double Trouble","The House Is Rockin'"
"1353",1994,"TRBGNHU128F4220469","Sunnyland Slim","Midnight Jump"
"1354",1994,"TRAMKUA128F92ED3E1","The Black Crowes","Ballad In Urgency"
"1355",1994,"TRADQAR128F92ED3DC","The Black Crowes","Nonfiction"
"1356",1994,"TRAPCIQ128F4241A74","The Cardigans","Rise & Shine"
"1357",1994,"TRAWFQT128F4294716","The Exciters","Reaching For The Best"
"1358",1994,"TRBFLER128F148C52B","The Mighty Mighty Bosstones","Pictures To Prove It"
"1359",1994,"TRALVKP128F42AD00C","The Statler Brothers","White Christmas"
"1360",1994,"TRBFBLS12903CBBABB","The Token","Come Dance With Me"
"1361",1994,"TRAOVRK128F4289B3A","The Tokens","La Bamba"
"1362",1994,"TRAQWGP128F932EAFE","The Tokens","Ill Always Love You"
"1363",1994,"TRABBOP128F931B50D","Tom Petty","A Higher Place (Album Version)"
"1364",1994,"TRAQDUR128F931B4E9","Tom Petty","Wildflowers (Album Version)"
"1365",1994,"TRAIATD128F9331CD6","Usher","I'll Show You Love"
"1366",1994,"TRAFDXV12903D085CF","Vanessa Daou","Smoke"
"1367",1994,"TRARYFU12903CAE834","Virgil Moorefield","Healing Power"
"1368",1994,"TRAUKYS128F14636CB","Wet Wet Wet","Love Is All Around"
"1369",1994,"TRAYLCK128F933C422","Zbigniew Preisner","Morning at the hotel"
"1370",1994,"TRBGQWH128F933C413","Zbigniew Preisner","The Court"
"1371",1995,"TRAOTVL12903CABE54","4Him","You Are Holy"
"1372",1995,"TRAEIMT128F1466ED6","A.Z.","We Can't Win (Explicit)"
"1373",1995,"TRAAYTI128F933663B","Abraham Laboriel","Exchange"
"1374",1995,"TRADLJV128F9336643","Abraham Laboriel","Guidum"
"1375",1995,"TRAQGMY128F425A2F5","Annie Lennox","A Whiter Shade Of Pale"
"1376",1995,"TRAMRWS128F14985A2","Arturo Sandoval","Waheera"
"1377",1995,"TRAULGT12903D10B94","BB King","She Don't Move Me No More"
"1378",1995,"TRBAIAU128E078D934","Bad Brains","God Of Love (Album Version)"
"1379",1995,"TRBDBWW128F426D386","Bad Religion","Flat Earth Society (Album Version)"
"1380",1995,"TRAUDFG128F423AC77","Basic Channel","Q1.1 Edit"
"1381",1995,"TRBFIBL128F423AC68","Basic Channel","Q Loop"
"1382",1995,"TRBAOIA128F932195E","Beherit","Sense"
"1383",1995,"TRAVUYV128F4239504","Big Maybelle","Tell Me Who"
"1384",1995,"TRBBNRP128F92EDD9D","Billy Pilgrim","Caroline (LP Version)"
"1385",1995,"TRBGRGB128F4289283","Bitty McLean","Over The River"
"1386",1995,"TRAXIIG128F427E41A","Blind Boy Fuller","Precious Lord"
"1387",1995,"TRABURP128F145D5DC","Bobby Darin","(I Heard That) Lonesome Whistle"
"1388",1995,"TRAUYZG12903CDA4E9","Bon Jovi","This Ain't A Love Song"
"1389",1995,"TRBCFNZ128F4241704","Bounty Killer","Cellular Phone"
"1390",1995,"TRAZYYE128F1456A0E","Brenda Lee","Everybody Loves Me But You"
"1391",1995,"TRAXAOX128F930DB6B","Captain Hollywood Project","Find Another Way"
"1392",1995,"TRBCRUH128F930DB67","Captain Hollywood Project","The Way Love Is"
"1393",1995,"TRASGLA128F147F4F6","Chris Eaton","All Or Nothing"
"1394",1995,"TRAYUID128EF340775","Clarence ""Gatemouth"" Brown","Someday My Luck Will Change"
"1395",1995,"TRASIWH128F4234005","Coco Montoya","Gotta Mind To Travel"
"1396",1995,"TRBAIKM12903CBCF21","Colin James","Better Days"
"1397",1995,"TRACTWW12903CB7550","Cracker","Shake Some Action"
"1398",1995,"TRAQVTO128F14696A6","Daft Punk","Da Funk"
"1399",1995,"TRBIGRZ128E0792329","Deep Blue Something","Gammer Gerten's Needle"
"1400",1995,"TRATAIB128F92E81CB","Dishwalla","Moisture"
"1401",1995,"TRAQOMM12903CC1D1C","Don & Juan","Are You Putting Me On The Shelf"
"1402",1995,"TRAADRN128F932D607","Ec8or","Cocain Ducks"
"1403",1995,"TRAGGHA128F4262D55","Eddy Raven","I WANNA HEAR IT FROM YOU"
"1404",1995,"TRBGGRK128F422CA7F","Elakelaiset","Laakista humppa"
"1405",1995,"TRAQQTW128F1466D86","Eliane Elias","All The Things You Are"
"1406",1995,"TRAKMUO128F4215890","Enrique Iglesias","Si Juras Regresar"
"1407",1995,"TRATCMK12903CABAC8","Faithless","Salva Mea"
"1408",1995,"TRAXAHC128F421D3C3","Five Fingers of Funk","Posters"
"1409",1995,"TRAEWVG128F428AC7F","Foo Fighters","X-Static"
"1410",1995,"TRBEMTF128F42660CA","For Squirrels","Superstar"
"1411",1995,"TRAAENC128F1451DE9","Francis Dunnery","Too Much Saturn"
